date,SMALL NegNI,SMALL ZeroNI,SMALL LoNI,ME1 NI2,ME1 NI3,ME1 NI4,SMALL HiNI,ME2 NegNI,ME2 ZeroNI,ME2 LoNI,ME2 NI2,ME2 NI3,ME2 NI4,ME2 HiNI,ME3 NegNI,ME3 ZeroNI,ME3 LoNI,ME3 NI2,ME3 NI3,ME3 NI4,ME3 HiNI,ME4 NegNI,ME4 ZeroNI,ME4 LoNI,ME4 NI2,ME4 NI3,ME4 NI4,ME4 HiNI,BIG NegNI,BIG ZeroNI,BIG LoNI,ME5 NI2,ME5 NI3,ME5 NI4,BIG HiNI
196307,-0.1175,0.5352,-2.414,-2.2606,-1.3386,-0.3095,1.1539,-1.9388,-1.496,-0.2577,1.7957,2.2893,-1.8204,0.6444,-3.0324,-0.71,0.128,-1.6127,-3.7777,-4.5064,2.0214,-2.2442,-0.8825,-2.112,0.0424,-1.0634,-3.3226,-0.2186,1.4458,0.5129,-0.1769,0.4373,-0.3102,0.6385,-0.8698
196308,3.8836,2.3685,3.4904,4.256,4.4024,1.7521,3.9409,4.3126,4.5442,8.2156,12.1218,7.0105,3.8052,1.9989,3.9131,4.2805,7.2775,5.2591,8.0492,5.3595,7.6499,5.8529,4.1047,5.3865,6.2704,5.6886,5.6533,8.0901,5.6417,4.2041,4.7742,6.3022,5.9332,4.9012,6.1636
196309,-0.9378,-1.167,-2.4154,-0.2488,-4.7094,-0.1437,-1.5961,0.9027,-2.35,-3.7717,-2.3382,-3.0744,-2.7704,-2.5816,-0.6835,-1.6761,-0.4247,-4.1335,0.8421,-3.6288,-4.367,-2.3341,-1.7454,-1.231,-3.3413,-2.3638,-3.2811,-1.4481,-2.195,-2.5184,-1.7343,0.3145,-0.857,0.0736,-2.0855
196310,-0.1396,0.312,-2.7966,-1.4467,3.5135,3.4689,-0.8315,-0.771,2.8451,9.9285,6.7113,6.4953,4.9167,0.8448,1.9344,1.0538,2.1518,8.1604,-2.2351,2.1213,2.2032,1.3673,1.0983,3.5788,1.8492,2.1751,-0.9778,0.2963,0.172,1.3491,2.6445,6.3045,6.0503,3.0567,1.3907
196311,-0.5004,-2.1693,-3.9654,-2.4608,-5.4538,-0.9498,-4.0102,0.7346,-1.24,-1.1132,0.1985,-1.9386,-0.4038,-3.2469,-0.968,-1.1903,-0.7748,-1.5025,-3.3886,-3.4948,-2.2645,0.0062,0.0061,-1.4971,0.0713,0.4336,0.2372,-0.0527,-1.0882,-0.8303,0.4822,-3.5122,-1.4094,3.1159,-1.0102
196312,-2.407,-0.4032,-4.3512,1.0116,-0.5081,-0.8559,-2.6086,-0.0464,-0.3359,-3.243,-0.7981,0.8673,-0.1533,1.3533,3.1379,0.641,1.0452,2.8977,-1.2513,-0.2198,3.95,2.001,2.7597,1.1363,2.4871,-1.1687,1.1385,0.315,3.0788,3.3994,2.9577,1.013,3.8229,1.962,1.804
196401,3.655,3.9983,5.1265,5.3482,3.0919,2.8406,4.9575,1.0164,4.2701,1.132,4.3034,-0.468,-1.2515,3.0977,2.4281,3.758,5.8555,1.7959,-0.3493,-3.6635,3.3506,2.0596,3.282,0.6235,0.5272,1.0149,0.9401,0.4027,2.9558,2.0164,4.5046,2.3393,2.7979,3.4147,-1.0019
196402,0.2933,3.472,0.1818,1.0486,0.045,3.0111,1.9917,1.2846,4.4437,-0.8542,2.2901,4.4343,1.8667,-0.13,2.3206,4.1731,2.5108,0.1188,3.4364,1.1672,-1.5501,3.1828,1.9756,2.7073,5.2873,4.3695,2.9526,1.4488,2.2385,2.527,2.0201,1.2054,2.3814,0.2021,1.0465
196403,2.647,4.4159,4.0114,2.7873,3.1669,2.4296,-0.0906,6.1575,4.886,5.3885,10.1028,0.9318,3.8625,0.8637,5.4614,4.0768,7.1414,6.4885,3.1264,1.4926,-1.3968,4.3112,2.9387,5.6356,2.2129,2.3471,0.865,2.1719,2.0641,2.4769,1.3701,0.9131,2.869,-0.1079,0.7
196404,-0.8614,0.6247,-0.8011,-0.9471,-3.2174,-0.11,-0.9076,-0.6082,-0.9098,4.8624,-4.3432,1.3254,-0.744,0.8456,-0.0751,-2.3107,-0.6009,-0.0907,-3.7087,-0.7237,-1.7221,-1.2216,4.3696,-0.4376,-1.006,-2.6129,-2.4505,1.2188,1.1392,0.3411,0.5274,2.0081,-2.154,1.697,0.6987
196405,0.8837,2.2939,1.342,-1.3115,-0.9871,-1.5919,-1.5349,2.0611,3.3533,-0.3275,3.6453,0.4072,1.8804,1.1767,0.1296,1.663,1.6785,1.633,-0.6887,-0.7938,-0.652,1.7362,3.7493,0.4734,1.8204,2.0351,1.6853,3.1924,1.8513,1.614,1.1284,2.5687,2.6282,0.4832,-0.4277
196406,1.6955,0.8084,3.2025,1.6146,7.4881,0.1739,0.0541,0.1326,1.6289,1.3976,0.1918,3.1701,4.5944,0.1106,1.4144,0.8497,1.8368,2.9966,3.1642,2.7444,4.0342,0.312,0.3415,1.0979,3.8627,3.4315,3.8632,-0.0867,1.7126,1.5112,0.7264,1.7549,0.1055,3.7948,1.8424
196407,2.2601,4.1622,4.7056,5.3464,1.4826,2.3747,0.9983,1.5463,2.6701,6.5531,6.8236,0.3057,3.122,-0.1875,1.6801,1.2654,3.6798,2.6732,3.6742,3.2368,3.133,3.1404,1.7719,2.3493,2.1239,1.974,2.5856,-0.4516,1.6692,3.5522,2.2269,4.3731,-0.9279,2.6619,0.6236
